agent_id,from_node,to_node,shortest_path_cost, shortest_path_node_seq
1,1,1,0,1;
2,1,2,1.0,1;2;
3,1,3,1.0,1;3;
4,1,4,2.0,1;3;4;
5,1,5,3.0,1;2;6;5;
6,1,6,2.0,1;2;6;
7,1,7,4.0,1;2;6;8;7;
8,1,8,3.0,1;2;6;8;
9,1,9,4.0,1;2;6;5;9;
10,1,10,4.0,1;3;4;11;10;
11,1,11,3.0,1;3;4;11;
12,1,12,2.0,1;3;12;
13,1,13,3.0,1;3;12;13;
14,1,14,4.0,1;3;4;11;14;
15,1,15,5.0,1;3;4;11;10;15;
16,1,16,4.0,1;2;6;8;16;
17,1,17,5.0,1;2;6;8;16;17;
18,1,18,5.0,1;2;6;8;7;18;
19,1,19,6.0,1;2;6;8;16;17;19;
20,1,20,6.0,1;2;6;8;7;18;20;
21,1,21,5.0,1;3;12;13;24;21;
22,1,22,6.0,1;3;4;11;10;15;22;
23,1,23,5.0,1;3;4;11;14;23;
24,1,24,4.0,1;3;12;13;24;
25,2,1,1.0,2;1;
26,2,2,0,2;
27,2,3,2.0,2;1;3;
28,2,4,3.0,2;1;3;4;
29,2,5,2.0,2;6;5;
30,2,6,1.0,2;6;
31,2,7,3.0,2;6;8;7;
32,2,8,2.0,2;6;8;
33,2,9,3.0,2;6;5;9;
34,2,10,4.0,2;6;5;9;10;
35,2,11,4.0,2;1;3;4;11;
36,2,12,3.0,2;1;3;12;
37,2,13,4.0,2;1;3;12;13;
38,2,14,5.0,2;1;3;4;11;14;
39,2,15,5.0,2;6;5;9;10;15;
40,2,16,3.0,2;6;8;16;
41,2,17,4.0,2;6;8;16;17;
42,2,18,4.0,2;6;8;7;18;
43,2,19,5.0,2;6;8;16;17;19;
44,2,20,5.0,2;6;8;7;18;20;
45,2,21,6.0,2;1;3;12;13;24;21;
46,2,22,6.0,2;6;5;9;10;15;22;
47,2,23,6.0,2;1;3;4;11;14;23;
48,2,24,5.0,2;1;3;12;13;24;
49,3,1,1.0,3;1;
50,3,2,2.0,3;1;2;
51,3,3,0,3;
52,3,4,1.0,3;4;
53,3,5,2.0,3;4;5;
54,3,6,3.0,3;1;2;6;
55,3,7,5.0,3;1;2;6;8;7;
56,3,8,4.0,3;1;2;6;8;
57,3,9,3.0,3;4;5;9;
58,3,10,3.0,3;4;11;10;
59,3,11,2.0,3;4;11;
60,3,12,1.0,3;12;
61,3,13,2.0,3;12;13;
62,3,14,3.0,3;4;11;14;
63,3,15,4.0,3;4;11;10;15;
64,3,16,4.0,3;4;11;10;16;
65,3,17,4.0,3;4;11;10;17;
66,3,18,5.0,3;4;11;10;16;18;
67,3,19,5.0,3;4;11;10;15;19;
68,3,20,5.0,3;12;13;24;21;20;
69,3,21,4.0,3;12;13;24;21;
70,3,22,5.0,3;4;11;10;15;22;
71,3,23,4.0,3;4;11;14;23;
72,3,24,3.0,3;12;13;24;
73,4,1,2.0,4;3;1;
74,4,2,3.0,4;3;1;2;
75,4,3,1.0,4;3;
76,4,4,0,4;
77,4,5,1.0,4;5;
78,4,6,2.0,4;5;6;
79,4,7,4.0,4;5;6;8;7;
80,4,8,3.0,4;5;6;8;
81,4,9,2.0,4;5;9;
82,4,10,2.0,4;11;10;
83,4,11,1.0,4;11;
84,4,12,2.0,4;3;12;
85,4,13,3.0,4;3;12;13;
86,4,14,2.0,4;11;14;
87,4,15,3.0,4;11;10;15;
88,4,16,3.0,4;11;10;16;
89,4,17,3.0,4;11;10;17;
90,4,18,4.0,4;11;10;16;18;
91,4,19,4.0,4;11;10;15;19;
92,4,20,5.0,4;11;10;15;19;20;
93,4,21,5.0,4;3;12;13;24;21;
94,4,22,4.0,4;11;10;15;22;
95,4,23,3.0,4;11;14;23;
96,4,24,4.0,4;3;12;13;24;
97,5,1,3.0,5;4;3;1;
98,5,2,2.0,5;6;2;
99,5,3,2.0,5;4;3;
100,5,4,1.0,5;4;
101,5,5,0,5;
102,5,6,1.0,5;6;
103,5,7,3.0,5;6;8;7;
104,5,8,2.0,5;6;8;
105,5,9,1.0,5;9;
106,5,10,2.0,5;9;10;
107,5,11,2.0,5;4;11;
108,5,12,3.0,5;4;3;12;
109,5,13,4.0,5;4;3;12;13;
110,5,14,3.0,5;4;11;14;
111,5,15,3.0,5;9;10;15;
112,5,16,3.0,5;6;8;16;
113,5,17,3.0,5;9;10;17;
114,5,18,4.0,5;6;8;7;18;
115,5,19,4.0,5;9;10;15;19;
116,5,20,5.0,5;6;8;7;18;20;
117,5,21,5.0,5;9;10;15;22;21;
118,5,22,4.0,5;9;10;15;22;
119,5,23,4.0,5;4;11;14;23;
120,5,24,5.0,5;4;3;12;13;24;
121,6,1,2.0,6;2;1;
122,6,2,1.0,6;2;
123,6,3,3.0,6;2;1;3;
124,6,4,2.0,6;5;4;
125,6,5,1.0,6;5;
126,6,6,0,6;
127,6,7,2.0,6;8;7;
128,6,8,1.0,6;8;
129,6,9,2.0,6;5;9;
130,6,10,3.0,6;5;9;10;
131,6,11,3.0,6;5;4;11;
132,6,12,4.0,6;2;1;3;12;
133,6,13,5.0,6;2;1;3;12;13;
134,6,14,4.0,6;5;4;11;14;
135,6,15,4.0,6;5;9;10;15;
136,6,16,2.0,6;8;16;
137,6,17,3.0,6;8;16;17;
138,6,18,3.0,6;8;7;18;
139,6,19,4.0,6;8;16;17;19;
140,6,20,4.0,6;8;7;18;20;
141,6,21,5.0,6;8;7;18;20;21;
142,6,22,5.0,6;5;9;10;15;22;
143,6,23,5.0,6;5;4;11;14;23;
144,6,24,6.0,6;2;1;3;12;13;24;
145,7,1,4.0,7;8;6;2;1;
146,7,2,3.0,7;8;6;2;
147,7,3,5.0,7;8;6;2;1;3;
148,7,4,4.0,7;8;6;5;4;
149,7,5,3.0,7;8;6;5;
150,7,6,2.0,7;8;6;
151,7,7,0,7;
152,7,8,1.0,7;8;
153,7,9,2.0,7;8;9;
154,7,10,3.0,7;8;9;10;
155,7,11,4.0,7;8;9;10;11;
156,7,12,5.0,7;8;9;10;11;12;
157,7,13,5.0,7;18;20;21;24;13;
158,7,14,5.0,7;8;9;10;11;14;
159,7,15,4.0,7;8;9;10;15;
160,7,16,2.0,7;8;16;
161,7,17,3.0,7;8;16;17;
162,7,18,1.0,7;18;
163,7,19,3.0,7;18;20;19;
164,7,20,2.0,7;18;20;
165,7,21,3.0,7;18;20;21;
166,7,22,3.0,7;18;20;22;
167,7,23,4.0,7;18;20;22;23;
168,7,24,4.0,7;18;20;21;24;
169,8,1,3.0,8;6;2;1;
170,8,2,2.0,8;6;2;
171,8,3,4.0,8;6;2;1;3;
172,8,4,3.0,8;6;5;4;
173,8,5,2.0,8;6;5;
174,8,6,1.0,8;6;
175,8,7,1.0,8;7;
176,8,8,0,8;
177,8,9,1.0,8;9;
178,8,10,2.0,8;9;10;
179,8,11,3.0,8;9;10;11;
180,8,12,4.0,8;9;10;11;12;
181,8,13,5.0,8;9;10;11;12;13;
182,8,14,4.0,8;9;10;11;14;
183,8,15,3.0,8;9;10;15;
184,8,16,1.0,8;16;
185,8,17,2.0,8;16;17;
186,8,18,2.0,8;7;18;
187,8,19,3.0,8;16;17;19;
188,8,20,3.0,8;7;18;20;
189,8,21,4.0,8;7;18;20;21;
190,8,22,4.0,8;7;18;20;22;
191,8,23,5.0,8;7;18;20;22;23;
192,8,24,5.0,8;7;18;20;21;24;
193,9,1,4.0,9;5;4;3;1;
194,9,2,3.0,9;5;6;2;
195,9,3,3.0,9;5;4;3;
196,9,4,2.0,9;5;4;
197,9,5,1.0,9;5;
198,9,6,2.0,9;5;6;
199,9,7,2.0,9;8;7;
200,9,8,1.0,9;8;
201,9,9,0,9;
202,9,10,1.0,9;10;
203,9,11,2.0,9;10;11;
204,9,12,3.0,9;10;11;12;
205,9,13,4.0,9;10;11;12;13;
206,9,14,3.0,9;10;11;14;
207,9,15,2.0,9;10;15;
208,9,16,2.0,9;8;16;
209,9,17,2.0,9;10;17;
210,9,18,3.0,9;8;7;18;
211,9,19,3.0,9;10;15;19;
212,9,20,4.0,9;8;7;18;20;
213,9,21,4.0,9;10;15;22;21;
214,9,22,3.0,9;10;15;22;
215,9,23,4.0,9;10;11;14;23;
216,9,24,5.0,9;10;11;12;13;24;
217,10,1,4.0,10;11;4;3;1;
218,10,2,4.0,10;9;5;6;2;
219,10,3,3.0,10;11;4;3;
220,10,4,2.0,10;11;4;
221,10,5,2.0,10;9;5;
222,10,6,3.0,10;9;5;6;
223,10,7,3.0,10;9;8;7;
224,10,8,2.0,10;9;8;
225,10,9,1.0,10;9;
226,10,10,0,10;
227,10,11,1.0,10;11;
228,10,12,2.0,10;11;12;
229,10,13,3.0,10;11;12;13;
230,10,14,2.0,10;11;14;
231,10,15,1.0,10;15;
232,10,16,1.0,10;16;
233,10,17,1.0,10;17;
234,10,18,2.0,10;16;18;
235,10,19,2.0,10;15;19;
236,10,20,3.0,10;15;19;20;
237,10,21,3.0,10;15;22;21;
238,10,22,2.0,10;15;22;
239,10,23,3.0,10;11;14;23;
240,10,24,4.0,10;11;12;13;24;
241,11,1,3.0,11;4;3;1;
242,11,2,4.0,11;4;3;1;2;
243,11,3,2.0,11;4;3;
244,11,4,1.0,11;4;
245,11,5,2.0,11;4;5;
246,11,6,3.0,11;4;5;6;
247,11,7,4.0,11;10;9;8;7;
248,11,8,3.0,11;10;9;8;
249,11,9,2.0,11;10;9;
250,11,10,1.0,11;10;
251,11,11,0,11;
252,11,12,1.0,11;12;
253,11,13,2.0,11;12;13;
254,11,14,1.0,11;14;
255,11,15,2.0,11;10;15;
256,11,16,2.0,11;10;16;
257,11,17,2.0,11;10;17;
258,11,18,3.0,11;10;16;18;
259,11,19,3.0,11;10;15;19;
260,11,20,4.0,11;10;15;19;20;
261,11,21,4.0,11;10;15;22;21;
262,11,22,3.0,11;10;15;22;
263,11,23,2.0,11;14;23;
264,11,24,3.0,11;12;13;24;
265,12,1,2.0,12;3;1;
266,12,2,3.0,12;3;1;2;
267,12,3,1.0,12;3;
268,12,4,2.0,12;3;4;
269,12,5,3.0,12;3;4;5;
270,12,6,4.0,12;3;1;2;6;
271,12,7,5.0,12;11;10;9;8;7;
272,12,8,4.0,12;11;10;9;8;
273,12,9,3.0,12;11;10;9;
274,12,10,2.0,12;11;10;
275,12,11,1.0,12;11;
276,12,12,0,12;
277,12,13,1.0,12;13;
278,12,14,2.0,12;11;14;
279,12,15,3.0,12;11;10;15;
280,12,16,3.0,12;11;10;16;
281,12,17,3.0,12;11;10;17;
282,12,18,4.0,12;11;10;16;18;
283,12,19,4.0,12;11;10;15;19;
284,12,20,4.0,12;13;24;21;20;
285,12,21,3.0,12;13;24;21;
286,12,22,4.0,12;11;10;15;22;
287,12,23,3.0,12;11;14;23;
288,12,24,2.0,12;13;24;
289,13,1,3.0,13;12;3;1;
290,13,2,4.0,13;12;3;1;2;
291,13,3,2.0,13;12;3;
292,13,4,3.0,13;12;3;4;
293,13,5,4.0,13;12;3;4;5;
294,13,6,5.0,13;12;3;1;2;6;
295,13,7,5.0,13;24;21;20;18;7;
296,13,8,5.0,13;12;11;10;9;8;
297,13,9,4.0,13;12;11;10;9;
298,13,10,3.0,13;12;11;10;
299,13,11,2.0,13;12;11;
300,13,12,1.0,13;12;
301,13,13,0,13;
302,13,14,3.0,13;12;11;14;
303,13,15,4.0,13;12;11;10;15;
304,13,16,4.0,13;12;11;10;16;
305,13,17,4.0,13;12;11;10;17;
306,13,18,4.0,13;24;21;20;18;
307,13,19,4.0,13;24;21;20;19;
308,13,20,3.0,13;24;21;20;
309,13,21,2.0,13;24;21;
310,13,22,3.0,13;24;21;22;
311,13,23,2.0,13;24;23;
312,13,24,1.0,13;24;
313,14,1,4.0,14;11;4;3;1;
314,14,2,5.0,14;11;4;3;1;2;
315,14,3,3.0,14;11;4;3;
316,14,4,2.0,14;11;4;
317,14,5,3.0,14;11;4;5;
318,14,6,4.0,14;11;4;5;6;
